Country,region
Syria,Middle East & North Africa
Taiwan,East Asia & Pacific
Tajikistan,Europe & Central Asia
Tanzania,Sub-Saharan Africa
Thailand,East Asia & Pacific
Timor-Leste,East Asia & Pacific
Togo,Sub-Saharan Africa
Tokelau,East Asia & Pacific
Tonga,East Asia & Pacific
Trinidad and Tobago,America
Tunisia,Middle East & North Africa
Turkey,Europe & Central Asia
Turkmenistan,Europe & Central Asia
Uganda,Sub-Saharan Africa
Ukraine,Europe & Central Asia
United Arab Emirates,Middle East & North Africa
United Kingdom,Europe & Central Asia
United States,America
Uruguay,America
Uzbekistan,Europe & Central Asia
Vanuatu,East Asia & Pacific
Venezuela,America
Vietnam,East Asia & Pacific
Virgin Islands (U.S.),America
West Bank and Gaza,Middle East & North Africa
Western Sahara,Middle East & North Africa
"Yemen, Rep.",Middle East & North Africa
Zambia,Sub-Saharan Africa
Zimbabwe,Sub-Saharan Africa
Åland,Europe & Central Asia
